740000089,Hestra station,57.443284,13.595839,0662,6407858,1402334
740000090,Jönköping Centralstation,57.784706,14.163322,0680,6316355,1491142
740000091,Alstermo Värdshuset,56.973633,15.659574,0760,6371630,1272621
740000092,Onsala kyrka,57.413182,12.020552,1384,6608418,1467449
740000093,Lindesberg station,59.594593,15.228831,1885,6410199,1357668
740000094,Ulricehamn busstation,57.793759,13.411675,1491,6544209,1233428
740000095,Strömstad station,58.936523,11.173324,1486,6278064,1483469
740000096,Emmaboda station,56.629567,15.535893,0862,6744868,1457191
740000097,Tällberg station,60.818240,15.018401,2029,6462258,1271841
740000098,Ljungskile station,58.224681,11.921123,1485,6609973,1542150
740000099,Västerås Centralstation,59.607703,16.551708,1980,6381642,1353126
740000100,Limmared station,57.536121,13.352742,1452,6220957,1319917
740000102,Bjuv station,56.083078,12.912316,1260,6291246,1445906
740000103,Ingelstad centrum,56.745098,14.921150,0780,6235445,1467866
740000104,Kallinge torg,56.246025,15.286923,1081,6934629,1492450
740000105,Ånge station,62.523268,15.658427,2260,6303070,1475038
740000106,Kosta Glasblåsarevägen,56.853747,15.396089,0761,6472182,1317248
740000107,Grästorp station,58.334803,12.684808,1444,6583945,1569525
740000108,Strängnäs station,59.370467,17.028003,0486,6414809,1333841
740000109,Fristad station,57.826907,13.008293,1490,6337085,1284515
740000110,Varberg station,57.109376,12.248083,1383,6667960,1522833
740000111,Avesta Krylbo station,60.129669,16.215930,2084,6361073,1375441
740000112,Gnosjö station,57.358238,13.735508,0617,6448552,1307255
740000113,Sollebrunn busstation,58.118728,12.534071,1489,7588160,1622470
740000114,Abisko Turiststation,68.358166,18.780111,2584,7035115,1363630
740000115,Åre station,63.398791,13.075922,2321,6330710,1346035
740000116,Landeryd station,57.076882,13.266183,1315,6319301,1468330
740000117,Lenhovda skola,56.999085,15.284113,0760,6469409,1243823
740000118,Lysekil Södra Hamnen,58.273323,11.437780,1484,6476664,1272769
740000119,Uddevalla Centralstation,58.354201,11.922754,1485,6178540,1335424
740000120,Lund Centralstation,55.708098,13.186901,1281,6225730,1333569
740000121,Klippan station,56.130841,13.128375,1276,6320319,1425358
740000122,Moheda station,57.003279,14.576861,0764,7007298,1441203
740000123,Östersund Centralstation,63.170515,14.637828,2380,6333298,1461450
740000124,Norrhult Industrigatan,57.124243,15.168763,0760,7581590,1644264
740000125,Kaisepakte station,68.289115,19.299427,2584,7028059,1383175
740000126,Järpen station,63.342477,13.471780,2321,6611535,1368248
740000127,"Deje, Järnvägsstation",59.603046,13.471593,1763,6803976,1531386
740000128,Bollnäs station,61.349734,16.391613,2183,6568362,1422053
740000129,Degerfors station,59.229130,14.439841,1862,6920330,1578142
740000130,Sundsvall Centralstation,62.386874,17.315631,2281,6322028,1444596
740000131,Rottne Gullebovägen,57.021332,14.893027,0780,6407820,1279555
740000132,Partille station,57.740870,12.102856,1402,6573263,1466147
740000133,Örebro Centralstation,59.278941,15.211345,1880,6259924,1431434
740000134,Ryd busstation,56.461963,14.692976,0763,6648684,1511386
740000135,Ängelsberg station,59.957134,16.008920,1982,6271164,1372500
740000136,Strömsnäsbruk,56.550591,13.731999,0767,7558718,1667690
740000137,Rensjön station,68.071716,19.829214,2584,6152460,1354280
740000138,Skurup station,55.480071,13.500376,1264,6392486,1433656
740000140,Nässjö Centralstation,57.652439,14.693983,0682,6216222,1417429
740000141,Bromölla station,56.067341,14.479503,1272,7025424,1371345
740000142,Undersåker station,63.314803,13.237891,2321,6421059,1334493
740000143,Borgstena station,57.883198,13.014915,1490,7290662,1793076
740000144,Luleå Centralstation,65.584090,22.164938,2580,6296378,1417391
740000145,Vislanda station,56.786993,14.453581,0764,6844692,1519418
740000146,Järvsö station,61.715872,16.172238,2161,7024188,1418058
740000147,Ytterån,63.317459,14.170020,2309,6489876,1346040
740000148,Lidköping station,58.504528,13.163896,1494,6563128,1592950
740000149,Nykvarn station,59.179168,17.430924,0140,7315799,1769493
740000150,Boden C/Resecentrum,65.828823,21.707648,2582,7587178,1624545
740000151,Abisko Östra station,68.348470,18.829267,2584,6279358,1445746
740000152,Väckelsång centrum,56.638334,14.921044,0763,7023941,1392337
740000153,Mörsil station,63.308435,13.657357,2321,6798869,1565954
740000154,Söderhamn station,61.299600,17.035680,2182,6226525,1322446
740000155,Åstorp station,56.133968,12.949186,1277,7296172,1738388
740000156,Älvsbyn station,65.678202,20.994585,2560,6272854,1332143
740000157,Veinge station,56.553078,13.075414,1381,6752260,1462560
740000158,Rättvik station,60.885117,15.115629,2031,6393147,1323101
740000159,Viskafors station,57.628557,12.843709,1490,6707377,1479146
740000160,Borlänge Centralstation,60.483536,15.425840,2081,6379930,1276659
740000161,Kungsbacka station,57.489551,12.080035,1384,6662224,1455482
740000162,Grängesberg station,60.076395,15.005464,2085,6949255,1426647
740000163,Åsarna station,62.647263,14.374603,2326,6368309,1397017
740000164,Skillingaryd station,57.428568,14.090788,0665,6541728,1523174
740000166,Katrineholm Centralstation,58.996592,16.208325,0483,6598498,1511273
740000167,Köping station,59.506671,16.004218,1983,6159237,1408285
740000169,Simrishamn station,55.554028,14.351946,1291,6583401,1539864
740000170,Eskilstuna Centralstation,59.369426,16.506268,0484,6398778,1411840
740000171,Tenhult station,57.705176,14.326399,0680,6490767,1455917
740000172,Motala station,58.537486,15.048310,0583,6476090,1293326
740000173,Öxnered station,58.359220,12.273696,1487,7543912,1678650
740000174,Krokvik station,67.932736,20.066910,2584,6590352,1487907
740000175,Fellingsbro station,59.433524,15.592065,1885,6579169,1426375
740000176,Karlskoga Busstationen,59.326889,14.511846,1883,6486466,1418935
740000177,Mölltorp centrum,58.493570,14.415053,1446,6485229,1386814
740000178,Stöpen Stöpenskolan,58.475321,13.865157,1496,6221219,1382507
740000179,Vinslöv station,56.104898,13.916896,1293,6466823,1460551
740000180,Mjölby station,58.322982,15.131988,0586,7095031,1693565
740000181,Vännäs Resecentrum/Station,63.908689,19.749817,2460,6338737,1313015
740000182,Ullared,57.136648,12.716479,1382,6510508,1402812
740000183,Töreboda station,58.706023,14.128392,1473,6638111,1351095
740000184,Sunne station,59.835577,13.149300,1766,6203236,1358535
740000185,Höör station,55.937023,13.541399,1267,6634795,1493684
740000186,Skinnskatteberg station,59.832576,15.692518,1904,6846288,1568939
740000187,Hudiksvall station,61.724494,17.109038,2184,6329078,1293243
740000188,Tvååker Centrum,57.041605,12.398459,1383,6290596,1506360
740000189,Nybro station,56.742360,15.909170,0881,7087954,1719516
740000190,Umeå Centralstation,63.830061,20.266814,2480,6468039,1294403
740000191,Trollhättan Centralstation,58.287580,12.299219,1488,6556306,1461926
740000192,Kumla station,59.126374,15.140280,1881,6541465,1431671
740000194,Laxå station,58.989392,14.616658,1860,6722266,1553283
740000195,Sandviken station,60.614175,16.778113,2181,6639283,1515624
740000196,Virsbo station,59.872616,16.084065,1907,6237728,1435907
740000197,Svängsta centrum,56.263288,14.770939,1082,6857040,1515390
740000198,Ljusdal station,61.826855,16.097120,2161,6212692,1396892
740000200,Kristianstad Centralstation,56.031667,14.151260,1290,6728899,1461152
740000202,Insjön station,60.675343,15.094367,2029,6414708,1295329
740000203,Floda station,57.810065,12.361332,1441,6398406,1279908
740000205,Mölnlycke station,57.656692,12.117366,1401,6600939,1359076
740000206,Kil station,59.505031,13.316342,1715,6402685,1300086
740000207,Hindås station,57.704446,12.451227,1401,7595094,1600775
740000208,Vassijaure station,68.428825,18.260403,2584,6729541,1573570
740000210,Gävle Centralstation,60.676245,17.151188,2180,6197226,1313817
740000211,Landskrona Drottninggatan,55.867897,12.830868,1282,6341070,1366216
740000212,Reftele station,57.176143,13.593145,0662,6348787,1539360
740000213,Oskarshamn station,57.263261,16.457499,0882,6645380,1544824
740000214,Sala station,59.925206,16.606633,1981,6422785,1385997
740000215,Mullsjö Station,57.914799,13.881707,0642,6511666,1385221
740000216,Mariestad station,58.712104,13.824498,1493,6584457,1346924
740000217,Grums station,59.352987,13.113766,1764,6716991,1525294
740000218,Hofors station,60.569571,16.266361,2104,7138852,1684838
740000219,Hällnäs station,64.305640,19.625940,2404,6981390,1600217
740000220,Kramfors station,62.929115,17.778180,2282,6619239,1318833
740000221,Arvika station,59.653591,12.591149,1784,6578528,1403375
740000222,Kristinehamn station,59.316500,14.108293,1781,6541733,1401898
740000223,Gullspång busstation,58.986007,14.098895,1447,6344055,1288050
740000225,Tofta station,57.173488,12.300404,1383,6570962,1573577
740000226,Åkers styckebruk,59.253267,17.094836,0486,6336026,1351935
740000227,Skeppshult station,57.126508,13.360237,0662,7024813,1432029
740000228,Krokom station,63.325990,14.448414,2309,7594537,1595333
740000229,Riksgränsen station,68.425725,18.127420,2584,6226471,1486347
740000230,Karlskrona Centralstation,56.166322,15.585483,1080,6421526,1397532
740000231,Habo station,57.906299,14.076765,0643,6375996,1400471
740000232,Vaggeryd station,57.498331,14.145133,0665,6518945,1238766
740000233,Tanum station,58.713712,11.295263,1435,6297438,1327284
740000234,Sennan station,56.771823,12.980033,1380,6291524,1466584
740000235,Lessebo station,56.749535,15.259041,0761,6396992,1302746
740000238,Rävlanda station,57.654588,12.500422,1401,7127668,1689734
740000239,Vindeln Resecentrum/Station,64.202882,19.712689,2404,6478005,1296013
740000241,Vänersborg Centralstation,58.377638,12.317816,1487,6931438,1578652
740000242,Timrå station,62.486396,17.330549,2262,6398202,1306891
740000243,Bollebygd station,57.667229,12.568772,1443,6718520,1540007
740000244,Storvik station,60.582100,16.534948,2181,6432478,1337231
740000245,Ljung station,57.986611,13.053179,1466,6317930,1337650
740000246,Rydöbruk station,56.959368,13.136307,1315,7077992,1672844
740000248,Nyåker Affären,63.766996,19.309499,2401,6505961,1575452
740000249,Oxelösund centrum,58.669573,17.105557,0481,6306005,1439110
740000250,Växjö station,56.876777,14.806575,0780,6377578,1408299
740000252,Hok station,57.514182,14.275049,0665,6948885,1608936
740000253,Härnösand station,62.635184,17.928637,2280,7456802,1710042
740000254,Gällivare C/Resecentrum,67.133502,20.650653,2523,6293265,1307863
740000255,Haverdal Haverdalsvägen,56.726809,12.665995,1380,6490492,1424530
740000256,Karlsborg busstation,58.530709,14.509637,1446,6313291,1297932
740000257,Falkenberg busstation,56.902155,12.488191,1382,6261222,1363647
740000258,Markaryd station,56.458889,13.593365,0767,6192691,1343397
740000260,Eslöv station,55.837715,13.305489,1285,6295059,1311548
740000261,Harplinge station,56.744397,12.724785,1380,6586276,1502040
740000262,Arboga station,59.397107,15.841061,1984,7037949,1624935
740000263,Mellansel station,63.428423,18.307723,2284,7415632,1726527
740000265,Nattavaara station,66.753896,20.950842,2523,6652413,1500635
740000266,Fagersta Centralstation,59.990760,15.816510,1982,6290570,1311823
740000267,Gullbrandstorp,56.704254,12.732562,1380,7385377,1725891
740000268,Murjek station,66.484137,20.880716,2510,6303283,1312279
740000269,Getinge station,56.818438,12.730682,1380,6712790,1600166
740000270,Karlholm Karlitplan,60.520217,17.629061,0360,6350300,1289560
740000271,Derome station,57.230156,12.320043,1383,6402304,1320444
740000272,Sandared station,57.709614,12.792489,1490,6724589,1564764
740000273,Valbo Ikea,60.633332,16.988482,2180,6671964,1344289
740000274,Torsby station,60.136564,13.002504,1737,6989928,1599120
740000275,Nyland station,63.005971,17.761705,2282,6572298,1581290
740000276,Mariefred Busstation,59.263848,17.230485,0486,6753099,1549727
740000277,Ockelbo station,60.891310,16.721029,2101,6459243,1244861
740000279,Ellös busstation,58.182917,11.466562,1421,6639545,1454165
740000280,Kopparberg station,59.872712,14.986854,1864,7223427,1698818
740000282,Jörn station,65.054425,20.030386,2482,6538852,1276962
740000283,Ed station,58.913389,11.932942,1438,6596888,1610360
740000284,Kungsängen station,59.477882,17.752499,0139,6385392,1278194
740000285,Anneberg station,57.539245,12.100611,1384,6378731,1312023
740000286,Assberg station,57.494832,12.669702,1463,6586177,1389081
740000287,Väse station,59.381611,13.853492,1780,6548684,1544971
740000288,Flen station,59.057299,16.588915,0482,6339793,1355366
740000289,Smålandsstenar station,57.161396,13.414656,0662,6227918,1362877
740000290,Tyringe station,56.159791,13.598202,1293,6670296,1465448
