740000118,Lysekil Södra Hamnen,58.273323,11.437780,1484
740000119,Uddevalla Centralstation,58.354201,11.922754,1485
740000120,Lund Centralstation,55.708098,13.186901,1281
740000121,Klippan station,56.130841,13.128375,1276
740000122,Moheda station,57.003279,14.576861,0764
740000123,Östersund Centralstation,63.170515,14.637828,2380
740000124,Norrhult Industrigatan,57.124243,15.168763,0760
740000125,Kaisepakte station,68.289115,19.299427,2584
740000126,Järpen station,63.342477,13.471780,2321
740000127,"Deje, Järnvägsstation",59.603046,13.471593,1763
740000128,Bollnäs station,61.349734,16.391613,2183
740000129,Degerfors station,59.229130,14.439841,1862
740000130,Sundsvall Centralstation,62.386874,17.315631,2281
740000131,Rottne Gullebovägen,57.021332,14.893027,0780
740000132,Partille station,57.740870,12.102856,1402
740000133,Örebro Centralstation,59.278941,15.211345,1880
740000134,Ryd busstation,56.461963,14.692976,0763
740000135,Ängelsberg station,59.957134,16.008920,1982
740000136,Strömsnäsbruk,56.550591,13.731999,0767
740000137,Rensjön station,68.071716,19.829214,2584
740000138,Skurup station,55.480071,13.500376,1264
740000140,Nässjö Centralstation,57.652439,14.693983,0682
740000141,Bromölla station,56.067341,14.479503,1272
740000142,Undersåker station,63.314803,13.237891,2321
740000143,Borgstena station,57.883198,13.014915,1490
740000144,Luleå Centralstation,65.584090,22.164938,2580
740000145,Vislanda station,56.786993,14.453581,0764
740000146,Järvsö station,61.715872,16.172238,2161
740000147,Ytterån,63.317459,14.170020,2309
740000148,Lidköping station,58.504528,13.163896,1494
740000149,Nykvarn station,59.179168,17.430924,0140
740000150,Boden C/Resecentrum,65.828823,21.707648,2582
740000151,Abisko Östra station,68.348470,18.829267,2584
740000152,Väckelsång centrum,56.638334,14.921044,0763
740000153,Mörsil station,63.308435,13.657357,2321
740000154,Söderhamn station,61.299600,17.035680,2182
740000155,Åstorp station,56.133968,12.949186,1277
740000156,Älvsbyn station,65.678202,20.994585,2560
740000157,Veinge station,56.553078,13.075414,1381
740000158,Rättvik station,60.885117,15.115629,2031
740000159,Viskafors station,57.628557,12.843709,1490
740000160,Borlänge Centralstation,60.483536,15.425840,2081
740000161,Kungsbacka station,57.489551,12.080035,1384
740000162,Grängesberg station,60.076395,15.005464,2085
740000163,Åsarna station,62.647263,14.374603,2326
740000164,Skillingaryd station,57.428568,14.090788,0665
740000166,Katrineholm Centralstation,58.996592,16.208325,0483
740000167,Köping station,59.506671,16.004218,1983
740000169,Simrishamn station,55.554028,14.351946,1291
740000170,Eskilstuna Centralstation,59.369426,16.506268,0484
740000171,Tenhult station,57.705176,14.326399,0680
740000172,Motala station,58.537486,15.048310,0583
740000173,Öxnered station,58.359220,12.273696,1487
740000174,Krokvik station,67.932736,20.066910,2584
740000175,Fellingsbro station,59.433524,15.592065,1885
740000176,Karlskoga Busstationen,59.326889,14.511846,1883
740000177,Mölltorp centrum,58.493499,14.415142,1446
740000178,Stöpen Stöpenskolan,58.475321,13.865157,1496
740000179,Vinslöv station,56.104898,13.916896,1293
740000180,Mjölby station,58.322982,15.131988,0586
740000181,Vännäs Resecentrum/Station,63.908689,19.749817,2460
740000182,Ullared,57.136648,12.716479,1382
740000183,Töreboda station,58.706023,14.128392,1473
740000184,Sunne station,59.835577,13.149300,1766
740000185,Höör station,55.937023,13.541399,1267
740000186,Skinnskatteberg station,59.832576,15.692518,1904
